dataset,fsn,time,image,saa,tracks
2014,4982249,2014-04-07T11:18:32.79Z,FUV,0,0
2014,4982252,2014-04-07T11:18:38.72Z,FUV,0,0
2014,4982255,2014-04-07T11:18:44.20Z,FUV,0,0
2014,4982258,2014-04-07T11:18:49.86Z,FUV,0,0
2014,4982261,2014-04-07T11:18:55.50Z,FUV,0,0
2014,4982264,2014-04-07T11:19:00.94Z,FUV,0,0
2014,4982267,2014-04-07T11:19:06.49Z,FUV,0,1
2014,4982270,2014-04-07T11:19:12.25Z,FUV,0,0
2014,4982273,2014-04-07T11:19:17.73Z,FUV,0,0
2014,4982276,2014-04-07T11:19:23.35Z,FUV,0,0
2014,4982279,2014-04-07T11:19:29.03Z,FUV,0,0
2014,4982282,2014-04-07T11:19:34.47Z,FUV,0,0
2014,4982285,2014-04-07T11:19:40.13Z,FUV,0,0
2014,4982288,2014-04-07T11:19:45.81Z,FUV,0,0
2014,4982291,2014-04-07T11:19:51.35Z,FUV,0,0
2014,4982294,2014-04-07T11:19:56.93Z,FUV,0,0
2014,4982297,2014-04-07T11:20:02.60Z,FUV,0,0
2014,4982300,2014-04-07T11:20:08.03Z,FUV,0,0
2014,4982303,2014-04-07T11:20:13.63Z,FUV,0,0
2014,4982306,2014-04-07T11:20:19.35Z,FUV,0,0
2014,4982309,2014-04-07T11:20:24.82Z,FUV,0,0
2014,4982312,2014-04-07T11:20:30.43Z,FUV,0,0
2014,4982315,2014-04-07T11:20:36.13Z,FUV,0,0
2014,4982318,2014-04-07T11:20:41.62Z,FUV,0,0
2014,4982321,2014-04-07T11:20:47.18Z,FUV,0,0
2014,4982324,2014-04-07T11:20:52.91Z,FUV,0,0
2014,4982327,2014-04-07T11:20:58.38Z,FUV,0,0
2014,4982330,2014-04-07T11:21:04.06Z,FUV,0,0
2014,4982333,2014-04-07T11:21:09.69Z,FUV,0,0
2014,4982336,2014-04-07T11:21:15.12Z,FUV,0,0
2014,4982339,2014-04-07T11:21:20.68Z,FUV,0,0
2014,4982342,2014-04-07T11:21:26.44Z,FUV,0,0
2014,4982345,2014-04-07T11:21:31.95Z,FUV,0,0
2014,4982348,2014-04-07T11:21:37.62Z,FUV,0,0
2014,4982351,2014-04-07T11:21:43.22Z,FUV,0,0
2014,4982354,2014-04-07T11:21:48.66Z,FUV,0,0
2014,4982357,2014-04-07T11:21:54.24Z,FUV,0,0
2014,4982360,2014-04-07T11:22:00.00Z,FUV,0,0
2014,4982363,2014-04-07T11:22:05.47Z,FUV,0,1
